,pair_id,pair_bin,student_id,candidate_id_68k,gtot,college_attended,englishmarks_12,gtot_dm,englishmarks_12_dm
112,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_20_24,2010013273,2010013273,654.0,501903_mec,81.0,-180.20000000000005,-7.599999999999994
113,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_20_24,2010013549,2010013549,963.0,501502_bpc,88.0,128.79999999999995,-0.5999999999999943
114,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_25_29,2010014404,2010014404,452.0,501903_mec,53.0,-376.6363636363636,-30.454545454545453
115,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_25_29,2010059735,2010059735,838.0,501502_bpc,71.0,9.363636363636374,-12.454545454545453
116,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_25_29,2010020368,2010020368,865.0,501502_bpc,92.0,36.363636363636374,8.545454545454547
117,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_25_29,2010022521,2010022521,881.0,501502_bpc,83.0,52.363636363636374,-0.45454545454545325
118,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_25_29,2010039326,2010039326,884.0,501502_bpc,78.0,55.363636363636374,-5.454545454545453
119,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_25_29,2010055098,2010055098,894.0,501502_bpc,86.0,65.36363636363637,2.5454545454545467
120,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_25_29,2010011558,2010011558,834.0,501502_bpc,83.0,5.363636363636374,-0.45454545454545325
121,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_25_29,2010011706,2010011706,705.0,501903_mec,96.0,-123.63636363636363,12.545454545454547
122,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_25_29,2010013135,2010013135,910.0,501502_bpc,91.0,81.36363636363637,7.545454545454547
123,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_25_29,2010013275,2010013275,917.0,501502_bpc,95.0,88.36363636363637,11.545454545454547
124,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_25_29,2010013622,2010013622,935.0,501502_bpc,90.0,106.36363636363637,6.545454545454547
125,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_30_34,2010017143,2010017143,944.0,501502_bpc,90.0,112.60000000000002,1.2000000000000028
126,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_30_34,2010048071,2010048071,643.0,501903_mec,70.0,-188.39999999999998,-18.799999999999997
