specification,college_code,value_added,std_error,t_value,p_value,ci_lower,ci_upper,sig,baseline_college
attempt_1,506202_bpc,-4.900107746630554,1.3801252561970356,-3.550480454312462,0.00038452868784102717,-7.605103542930859,-2.195111950330249,***,501502_bpc
attempt_1,501601_mpc,-4.920442117643431,0.9336284355463851,-5.270235920742767,1.362485210914484e-07,-6.750320226256822,-3.0905640090300412,***,501502_bpc
attempt_1,506404_cec,-4.976430561843832,1.3139254530280444,-3.787452743513916,0.00015219962040925855,-7.551677128149273,-2.40118399553839,***,501502_bpc
attempt_1,506201_mpc,-4.994530995885396,1.386121117297373,-3.6032428433264307,0.0003142716583570543,-7.711278463998667,-2.2777835277721246,***,501502_bpc
attempt_1,507201_mpc,-5.093425624827443,1.8408357227578152,-2.7669093780931298,0.0056590483586483765,-8.701397342887521,-1.4854539067673653,**,501502_bpc
attempt_1,506904_cec,-5.100651584524901,1.4096218840738313,-3.6184537443359854,0.0002963684556599447,-7.863459709129106,-2.337843459920697,***,501502_bpc
attempt_1,502201_mpc,-5.179415543495958,1.3822056671953475,-3.747210466880505,0.00017881204742434135,-7.888488870425995,-2.470342216565921,***,501502_bpc
attempt_1,502504_cec,-5.212221203725664,1.3877213111426996,-3.755956734161367,0.00017268052634611552,-7.9321049941440585,-2.4923374133072707,***,501502_bpc
attempt_1,507501_mpc,-5.265606127674176,1.423515869561456,-3.6990147003393483,0.00021643806620566308,-8.055645963435847,-2.475566291912505,***,501502_bpc
attempt_1,502101_mpc,-5.411673022871592,0.9629953866886093,-5.619625075754897,1.9137229442645278e-08,-7.299109298059489,-3.5242367476836955,***,501502_bpc
attempt_1,505902_bpc,-5.411707802315045,1.4424469376572682,-3.751755202242934,0.00017560088209831045,-8.238851849733383,-2.584563754896707,***,501502_bpc
attempt_1,508202_bpc,-5.480216306918495,1.4746351259201746,-3.7163202005640756,0.00020214537361164944,-8.370448044059724,-2.5899845697772648,***,501502_bpc
attempt_1,504401_mpc,-5.587439796593413,1.883156685326553,-2.967060489512327,0.003006618009202919,-9.278359077079285,-1.8965205161075418,**,501502_bpc
attempt_1,507701_mpc,-5.7193002947309575,1.4933131213508677,-3.8299404277364246,0.00012817428474616122,-8.64614023021975,-2.7924603592421655,***,501502_bpc
attempt_1,505402_bpc,-5.766954196637754,1.4930275064699103,-3.8625907236451695,0.00011219087979171398,-8.693234337246421,-2.8406740560290875,***,501502_bpc
attempt_1,509302_bpc,-5.897650257130557,1.4946444038543605,-3.9458551090291505,7.951568883337241e-05,-8.827099458379443,-2.9682010558816714,***,501502_bpc
attempt_1,504701_mpc,-6.110392909168697,1.6329334505145239,-3.7419730162569467,0.00018258112392715453,-9.310883661327882,-2.9099021570095114,***,501502_bpc
attempt_1,507001_mpc,-6.176750639133088,1.4772111323764958,-4.181359389836241,2.89771426258349e-05,-9.07203125615265,-3.281470022113526,***,501502_bpc
attempt_1,506801_mpc,-6.2514553465260825,1.6126814963501064,-3.876435217167592,0.00010599801508501692,-9.412252997906453,-3.0906576951457114,***,501502_bpc
