college_stream,value_added,std_error,t_value,p_value,ci_lower,ci_upper,college_code,stream,sig
511701_mpc_mpc,-7.25250594757245,1.7151161908660089,-4.228579956387947,2.351709405709252e-05,-10.614071910971353,-3.8909399841735475,511701_mpc,mpc,***
509502_bpc_bpc,-7.275286682878602,0.9535538628823645,-7.629654669833916,2.3538337429715462e-14,-9.144217911447083,-5.406355454310122,509502_bpc,bpc,***
506702_bpc_bpc,-7.3092091281906715,1.1027275536827084,-6.6283000762795625,3.395746296970018e-11,-9.47051541816874,-5.1479028382126035,506702_bpc,bpc,***
503602_bpc_bpc,-7.318204780512625,1.0194989979769822,-7.178236364169386,7.061640093514636e-13,-9.316386098822184,-5.320023462203066,503602_bpc,bpc,***
513202_bpc_bpc,-7.34058043319134,1.9945053467526854,-3.6804014815717396,0.0002328670178317368,-11.249739079799175,-3.4314217865835044,513202_bpc,bpc,***
514901_mpc_mpc,-7.392942489239105,1.3234514076748456,-5.586107994873547,2.3221486319930885e-08,-9.986859583570638,-4.799025394907571,514901_mpc,mpc,***
515002_bpc_bpc,-7.46421197523186,0.930551590876013,-8.021276894712647,1.046515218824389e-15,-9.288059579105298,-5.640364371358424,515002_bpc,bpc,***
513404_cec_cec,-7.5396516130791404,1.6256720447146025,-4.637867543821101,3.5202225296365394e-06,-10.72591027139335,-4.3533929547649315,513404_cec,cec,***
504202_bpc_bpc,-7.81826710095625,1.1091303558057795,-7.049006512202351,1.801997190473479e-12,-9.992122652495674,-5.6444115494168265,504202_bpc,bpc,***
512104_cec_cec,-7.826488770165313,1.060246540311414,-7.381763083015134,1.5620697951225216e-13,-9.90453380390888,-5.748443736421747,512104_cec,cec,***
513103_mec_mec,-7.82696514927979,1.2034186790553618,-6.503941882823077,7.824213482348486e-11,-10.185622418551066,-5.468307880008514,513103_mec,mec,***
509202_bpc_bpc,-8.102453249073312,0.9491807921860336,-8.536259178204357,1.386371939719415e-17,-9.962813416575136,-6.242093081571489,509202_bpc,bpc,***
512602_bpc_bpc,-8.171038913125841,1.217192167314833,-6.713022916629039,1.906331601407185e-11,-10.556691723327166,-5.785386102924517,512602_bpc,bpc,***
507602_bpc_bpc,-8.313393573321559,1.1836981512006322,-7.02323777805113,2.1678481087927736e-12,-10.633399318241445,-5.993387828401673,507602_bpc,bpc,***
507302_bpc_bpc,-8.324572201382185,1.1883160974145668,-7.005351706918769,2.4636615701237175e-12,-10.653628954563928,-5.995515448200444,507302_bpc,bpc,***
503102_bpc_bpc,-8.434270707073999,0.9973310025834881,-8.456841996514546,2.7471574620224752e-17,-10.389003552802858,-6.479537861345139,503102_bpc,bpc,***
