candidate_id_68k,marks,gtot,allotted_JC_code,pair_bin_1,pair_bin_2,pair_bin_3,pair_bin_4,pair_bin_5,pair_bin_6,pair_bin_7,pair_bin_8,pair_bin_9,pair_bin_10,pair_bin_11,pair_bin_12,pair_bin_13,pair_bin_14,pair_bin_15,pair_bin_16,pair_bin_17,pair_bin_18,pair_bin_19,englishmarks_12,marks12th,dob_year,age,female,social_category,region,minority,religion,english_medium_10,english_medium_9,school_type_9,school_type_10,type,appliedforJC,result,address_pincode,address_mandalname,address_district,coll_code_went,got_into_JC,TSJC,intermediatecollegecode,sixdigitcode,coll_code,institution,is_income,maxtot,th_mrk,pr_mrk,tot_mrk
2010000105,17.5,766.0,,,,,,,,,,,,,,,,,,,,,74.0,76.6,2004.0,16.0,0.0,ST,NALGONDA,0.0,HINDU,1.0,1.0,MODEL,MODEL,,1.0,1,508207,ADAVIDEVULAPALLY,NALGONDA,50031.0,0.0,0.0,,,50031.0,,Y,1000,078,0,078
2010000109,10.75,448.0,,,,,,,,,,,,,,,,,,,,,51.0,44.8,2004.0,16.0,0.0,BC,NALGONDA,0.0,HINDU,1.0,1.0,GO,GO,,1.0,3,508248,DEVARAKONDA,NALGONDA,50262.0,0.0,0.0,,,50262.0,,Y,1000,086,0,086
2010000110,10.5,220.0,,,,,,,,,,,,,,,,,,,,,24.0,22.0,2004.0,16.0,0.0,SC,ADILABAD,0.0,HINDU,0.0,0.0,GO,GO,,1.0,F,504311,JAINOOR,KOMARAMBHEEM(ASIFABAD),30001.0,0.0,0.0,,,30001.0,,Y,1000,069,0,069
2010000111,31.25,541.0,512502_BPC,512501_mpcx512502_bpc.1__marks_30_39,512502_bpcx512602_bpc.1__marks_30_39,512502_bpcx512702_bpc.1__marks_30_39,512601_mpcx512502_bpc.1__marks_30_39,512701_mpcx512502_bpc.1__marks_30_39,,,,,,,,,,,,,,,36.0,54.1,2004.0,16.0,0.0,SC,KHAMMAM,0.0,HINDU,0.0,0.0,ZPHS,ZPHS,Science,1.0,2,507209,KALLUR,KHAMMAM,44017.0,1.0,1.0,44017.0,512501,44017.0,"tswrs/jc[b], annapureddypally",Y,1000,084,0,084
2010000112,50,426.0,,,,,,,,,,,,,,,,,,,,,44.0,42.6,2005.0,15.0,0.0,BC,NIZAMABAD,0.0,HINDU,1.0,1.0,TSWR,TSWR,,1.0,F,503305,JUKKAL,KAMAREDDY,46219.0,0.0,0.0,,,46219.0,,Y,1000,090,0,090
2010000113,13.75,467.0,,,,,,,,,,,,,,,,,,,,,42.0,46.7,2004.0,16.0,0.0,BC,MAHABOOBNAGAR,0.0,HINDU,0.0,0.0,GO,GO,,1.0,3,509135,WADDEPALLE,JOGULAMBA(GADWAL),53008.0,0.0,0.0,,,53008.0,,Y,1000,070,0,070
2010000121,32.5,603.0,512501_MPC,512501_mpcx512502_bpc.1__marks_30_39,512501_mpcx512601_mpc.1__marks_30_39,512501_mpcx512602_bpc.1__marks_30_39,512501_mpcx512701_mpc.1__marks_30_39,512501_mpcx512702_bpc.1__marks_30_39,,,,,,,,,,,,,,,40.0,60.3,2005.0,15.0,0.0,SC,KHAMMAM,0.0,HINDU,0.0,0.0,ZPHS,ZPHS,Science,1.0,1,507209,KALLUR,KHAMMAM,44017.0,1.0,1.0,44017.0,512501,44017.0,"tswrs/jc[b], annapureddypally",Y,1000,050,0,050
2010000126,48.5,154.0,512902_BPC,512902_bpcx513104_cec.1__marks_40_49,512902_bpcx513903_mec.1__marks_40_49,,,,,,,,,,,,,,,,,,68.55713,15.4,2005.0,15.0,0.0,SC,MAHABOOBNAGAR,0.0,HINDU,0.0,0.0,GO,GO,Science,1.0,F,509135,WADDEPALLE,JOGULAMBA(GADWAL),55019.0,1.0,1.0,55019.0,512901,55019.0,tswrs/jc (b) achampet,Y,1000,035,00,035
2010000127,51.5,940.0,,,,,,,,,,,,,,,,,,,,,90.0,94.0,2004.0,16.0,0.0,BC,MAHABOOBNAGAR,0.0,HINDU,1.0,1.0,GO,GO,,1.0,1,509129,GHATTU,JOGULAMBA(GADWAL),54214.0,0.0,0.0,,,54214.0,,Y,1000,040,0,040
2010000129,55.5,964.0,,,,,,,,,,,,,,,,,,,,,88.0,96.4,2004.0,16.0,1.0,BC,NIZAMABAD,0.0,HINDU,1.0,1.0,GO,GO,,1.0,1,503308,KAMMARPALLY,NIZAMABAD,45236.0,0.0,0.0,,,45236.0,,Y,1000,096,0,096
